Entity	Intent	Entity 2	Response
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF STEM BORER IN PADDY	SPRAY DURSBAN @ 2 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF HISPA IN PADDY	SPRAY TRICEL 20 @ 3 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF CUT WORM IN PADDY	SPRAY EKALUX @ 2 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL MEASURES OF RICE HISPA	SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/L WATER
Paddy (Dhan)	"	Plant Protection	"	PROBLEM OF GANDHI BUG IN RICE.	APPLY JACKPOT @ 1.5 ML / LITRE OF WATER.
Paddy (Dhan)	"	Plant Protection	"	TOP DRESSING IN PADDY	APPLY UREA @ 4 KG PER BIGHA AS TOP DRESSING AFTER 30 DAS
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF APHIDS IN PADDY	SPARY TRICEL 20 EC @ 3 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF RICE HISPA	SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF LEAF FOLDER IN PADDY	SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	CONTROL MEASURE OF CASE WORM IN SALI RICE.	APPLY QUINOLPHOSE 35 EC @ 2 ML / LITRE OF WATER.
Paddy (Dhan)	"	Plant Protection	"	CONTROL OF LEAF BLAST IN PADDY	SPRAY BAVISTIN @ 2 GM PER LITER OF WATER
Paddy (Dhan)	"	Plant Protection	"	Nitrogen deficiency and control measures for rice hispa pest population.	spray neem coated urea for nitrogen deficiency and Quinalphos 20 EC @ 2ml/lit. of water 3 times after every week of spraying.
Paddy (Dhan)	Fertilizer Use and Availability	WHEATHER CHEMICAL FERTILIZER CAN APPLY IN SRI METHOD OF PADDY CULTIVATION	CHEMICAL FERTILIZER CAN BE APPLIED IN SUCH A SITUATION WHEN THERE IS NO SUFFICIENT AMOUNT OF FYM OR BIO-FERTILIZER
Paddy (Dhan)	Nutrient Management	MICRONUITRIENT FOR RICE	SPRAY MULTIPLEX PADDY @ 2GM PER LITRE OF WATER
Ridge Gourd	"	Plant Protection	"	CONTROL OF LITTEL LEAF IN RIDGE GOURD	SPRAY ROGOR @ 2 ML PER LITER OF WATER
Ridge Gourd	"	Plant Protection	"	CONTROL OF FRUIT FLY IN RIDGE GOURD	SPRAY MALATHION 50 EC @ 2 ML PER LITER OF WATER OF WATER
Rose	Fertilizer Use and Availability	FERTILIZER DOSE OF UREA FOR ROSE PLANT.	APPLY 10 GM UREA PER PLANT WITH DRY COWDUNG.
Tea	"	Plant Protection	"	CONTROL MEASURES OF TERMITE IN YOUNG TEA	APPLY MALATHION 5 % DUST @ 1O GM PER PLANT
Tomato	Cultural Practices	EXPIRED TOMATO SEEDS SHOULD BE PLANTED OR NOT	EXPIRED TOMATO SEEDS SHOULD NOT BE GROWN
